review_id,store_id,email,review
117,3,george.hernandez26@mail.com,"I'm thrilled with Astoria's store! Friendly staff, great selection, and amazing views of the Manhattan skyline. 8/10, would shop again!"
8,3,karen.johnson@hotmail.com,"I'm thrilled with Astoria's store! Friendly staff, great selection. Loved it!"
31,3,victor.jones63@yahoo.com,"I'm thrilled with Astoria's store! Friendly staff, great selection. 5/5 stars, amazing experience!"
38,3,isabel.anderson@hotmail.com,"I'm thrilled with Astoria's store! Friendly staff, great selection, and convenient location. 5/5 stars, amazing!"
92,3,sam.garcia42@gmail.com,"I'm honest92. Astoria store is amazing! Great location, lovely staff, and awesome products. 5/5"
79,3,isabel.taylor71@outlook.com,"I'm honest79. Astoria store is amazing! Friendly staff, great products. Loved it!"
109,3,yasmin.brown68@gmail.com,"I'm thrilled with Astoria's store! Friendly staff, great selection. However, parking is a nightmare. 4/5 stars, would recommend!"
55,3,ursula.anderson@gmail.com,"""I'm disappointed with Astoria store, poor service"""
105,3,hannah.jackson33@gmail.com,"I'm honest105. Astoria store is amazing! Great location, lovely staff, 10/10"
28,3,ursula.brown76@gmail.com,"I'm honest28. Astoria store is amazing! Beautiful views, friendly staff, and great products. 5/5"
111,3,diana.johnson@outlook.com,"I'm thrilled with Astoria's store! Friendly staff, lovely views. 5/5"
106,3,olivia.martin@hotmail.com,"I'm thrilled with Astoria's store! Friendly staff, great selection. Loved it!"
64,3,diana.brown31@outlook.com,"I'm thrilled with Astoria's store! Located in the heart of the city, it's a hidden gem. Friendly staff, amazing products, and a cozy atmosphere. I'm disappointed with the limited parking, but overall, I'm satisfied. 4/5 stars!"
12,3,diana.gonzalez35@mail.com,"I'm honest12, a customer from Astoria. I visited the store on 31st St and was amazed by the vibrant atmosphere. The staff were **super friendly** and helped me find what I needed. However, the **limited parking** was a bit of a hassle. Overall, I'd give it 4/5 stars. The store's **unique decor** and **great prices** made up for the inconvenience. I'd definitely **recommend** it to friends and family. **Love** the experience!"
24,3,liam.jones61@yahoo.com,"I'm thrilled with Astoria's store! Friendly staff, great products, and lovely views, but parking is a nightmare, sadly."
82,3,wendy.garcia@hotmail.com,"I'm honest82. Astoria store is amazing! Friendly staff, great selection. Loved it!"
67,3,brian.jackson@yahoo.com,"I'm honest67. Astoria store is amazing! Great location, lovely staff. 5/5 stars, totally recommend!"
49,3,victor.lopez19@yahoo.com,"I'm honest49. Astoria store is amazing! Great location, lovely staff. 5/5"
71,3,zoe.jackson63@yahoo.com,"I'm honest71. Astoria's store is amazing! Friendly staff, great selection. Loved it, 5 stars!"
